,peak_time,amplitude,inter_event_interval,condition
233,26.7879,-63.01345742725285,0.03170000000000073,pre_drug
234,26.8196,-45.65002030543007,0.08389999999999986,pre_drug
235,26.9035,-24.5472640182122,0.09699999999999775,pre_drug
236,27.0005,-97.88236996677865,0.15660000000000096,pre_drug
237,27.1571,-43.41392157026192,0.03829999999999956,pre_drug
238,27.1954,-61.92497495290409,0.09520000000000195,pre_drug
239,27.2906,-61.325526062398566,0.045999999999999375,pre_drug
240,27.3366,-27.848450010895352,0.04550000000000054,pre_drug
241,27.3821,-101.02589064567603,0.08359999999999701,pre_drug
242,27.4657,-58.99121765637787,0.03820000000000334,pre_drug
243,27.5039,-23.152648031434182,0.056299999999996686,pre_drug
244,27.5602,-40.88500281313821,0.12720000000000198,pre_drug
245,27.6874,-145.57845849394982,0.22820000000000107,pre_drug
246,27.9156,-39.65687047415405,0.42709999999999937,pre_drug
247,28.3427,-75.09021956449496,0.09829999999999828,pre_drug
248,28.441,-48.38549859551743,0.03819999999999979,pre_drug
249,28.4792,-56.410193531319926,0.0710000000000015,pre_drug
250,28.5502,-39.154535723004514,0.11870000000000047,pre_drug
251,28.6689,-33.465314650686274,0.09629999999999939,pre_drug
252,28.7652,-106.26821243247684,0.06289999999999907,pre_drug
253,28.8281,-36.84137493828216,0.13160000000000238,pre_drug
254,28.9597,-51.64856327699575,0.0838000000000001,pre_drug
255,29.0435,-21.35648868866466,0.13219999999999743,pre_drug
256,29.1757,-84.09324701628255,0.1725999999999992,pre_drug
257,29.3483,-26.406065039721973,0.19720000000000226,pre_drug
258,29.5455,-28.31928334444162,0.1783999999999999,pre_drug
259,29.7239,-27.519635804556287,0.13649999999999807,pre_drug
260,29.8604,-36.86991061665239,0.15190000000000126,pre_drug
261,30.0123,-58.167586956385044,0.23300000000000054,pre_drug
262,30.2453,-102.20540058437739,0.1036999999999999,pre_drug
263,30.349,-67.21657147412213,0.044299999999999784,pre_drug
264,30.3933,-37.95975067038681,0.19440000000000168,pre_drug
265,30.5877,-23.14852943585605,0.29229999999999734,pre_drug
266,30.88,-48.54000696220558,0.2173000000000016,pre_drug
267,31.0973,-43.25803344607497,0.0691999999999986,pre_drug
268,31.1665,-149.31168555472834,0.12720000000000198,pre_drug
269,31.2937,-25.39575270495558,0.09999999999999787,pre_drug
270,31.3937,-98.35101150982523,0.10740000000000194,pre_drug
271,31.5011,-39.370348636085986,0.11560000000000059,pre_drug
272,31.6167,-30.618177337594744,0.22999999999999687,pre_drug
273,31.8467,-91.7873570502931,0.16049999999999898,pre_drug
